id;codigo;data_criacao;descricao;nome_nuvem;nome_original;tipo_origem_anexo_arquivo
1;40874;2022-09-19T02:54:52;reinvent;Integrated PNG action-items;target;PEDIDOS
2;38590;2022-09-19T06:58:35;capability Metal;Checking Cross-group Cheese;Kids systems;PROCESSO_IMPORTACAO_LEAD
3;29198;2022-09-19T09:43:11;grey AI Human;Spain Industrial Fresh;integrated Shoes;CLIENTES
4;18918;2022-09-19T05:01:00;connect sexy modular;metrics connect Metal;District Buckinghamshire 24/7;CONFIGURACAO_SISTEMA
5;36429;2022-09-18T10:56:18;Moroccan generate;e-enable;grey Cape;PROCESSO_IMPORTACAO_LEAD
6;2529;2022-09-18T15:43:12;repurpose SAS;hardware Personal;Shoes explicit;CONTESTACAO_LEAD
7;36986;2022-09-19T05:40:36;pixel Isle Dynamic;deposit Leone;Usability monitor digital;PROCESSO_IMPORTACAO_LEAD
8;78735;2022-09-19T06:56:36;overriding salmon;hack strategy;Square Tasty bandwidth-monitored;ITEM_CORRECAO
9;49844;2022-09-19T05:09:07;fuchsia Idaho back-end;North;real-time pixel;CLIENTES
10;30640;2022-09-18T18:17:47;efficient Wooden;Row;Overpass;PEDIDOS
