id;codigo;data_criacao;classificacao_aparelho;descricao;nome_tecnico;material;valor;ativo
1;Card 5th UIC-Franc;2022-09-18T19:34:25;CHIP_MOVEL;Gloves;haptic Jewelery;alarm Mobility;90511;true
2;Planner & Soft;2022-09-19T07:59:33;CHIP_MOVEL;Nevada;bypass;Berkshire bypassing online;33682;false
3;ivory;2022-09-18T19:22:45;APARELHO_MOVEL;Garden Designer SCSI;mindshare;Quality Metal;77121;true
4;Operations;2022-09-19T02:34:13;CHIP_MOVEL;generating;e-commerce Gorgeous lavender;24/7 enable;98033;true
5;Avon Function-based Shoes;2022-09-18T12:37:51;CHIP_MOVEL;Hungary Unbranded;interface Metal;Central;56260;false
6;generate Integration;2022-09-18T22:42:33;CHIP_MOVEL;Lead;Handmade Agent;Multi-lateral;31265;true
7;driver;2022-09-19T00:22:55;APARELHO_MOVEL;synthesize cross-platform Dynamic;User-centric Views Mexican;Borders redundant payment;58217;true
8;panel SCSI;2022-09-18T20:12:12;APARELHO_MOVEL;Account green;Algeria;Account;92266;false
9;multi-byte Sri Auto;2022-09-18T20:58:11;CHIP_MOVEL;program;pixel Gorgeous Intranet;Frozen Divide Bermuda;72961;true
10;Wooden;2022-09-18T14:26:51;APARELHO_MOVEL;Utah supply-chains;transmit;invoice Tuna;14198;false
