id;cepnum;cependtip;cepend;cependcompl;cepbai;cepcid;cepmuncod;cepmunnom;cepmunuf
1;Beauty;backing mission-critical;Tokelau Global Operations;Macao application Norwegian;Organic;black;17974;Tools copy transmit;mo
2;index;RSS Lead;Representative Optimization;generating B2B mindshare;Berkshire Tunisian Norfolk;matrix T;42560;Account Programmable;pr
3;Metal cr;Cambridgeshire;clicks-and-mortar purple Highway;deposit Plastic analyzing;Balboa;Cambridg;88414;driver Virginia;pa
4;full-ran;Self-enabling;Chief Island;quantify;Soap azure Michigan;Object-b;50628;SQL Tasty;Fl
5;Shilling;Summit;leverage SDD system-worthy;Berkshire;Mouse;Soft;31654;Music Central;iv
6;visualiz;Small;Mandatory productivity;neural coherent input;Producer SDD;Aruba Ch;69924;Analyst;in
7;Franc;online paradigm Group;Chips Bike Avon;Cheese;Principal Avon Sleek;Wooden S;94499;parsing index;Bi
8;Communic;Licensed;synthesize sensor;Shoes Buckinghamshire;Guinea Networked;Arkansas;78499;Jewelery viral;tr
9;next;Bedfordshire Chief;Garden backing primary;Netherlands;SCSI networks Baby;Bedfords;49155;groupware;Ar
10;Massachu;Forint;Maine backing Synergized;Cambodia;Facilitator content interface;SMTP Sec;60276;Communications Account Rwanda;Ne
