id;cep;logradouro;numero;bairro;complemento;ponto_referencia;cidade;uf
1;customized Movies St;Forward Uruguay;Fish e-markets;back-end Forward;Electronics;Estate Integration;magenta bandwidth-monitored;Bu
2;Rustic quantifying;motivating Belize cross-platform;repurpose circuit;Bacon ivory Rubber;Belize Boliviano Michigan;Intelligent wireless purple;Quetzal red;mo
3;Money backing Small;interactive Streets Centralized;Facilitator;Account;Agent RSS Buckinghamshire;mobile discrete transform;Skyway Lock pink;di
4;Path proactive;Creative Buckinghamshire Gardens;Rustic Savings Mali;Wooden;Secured Avon orange;Ohio;monitoring;pr
5;Configurable Fresh;Technician scale bypassing;Hat JSON;Fresh Account;Internal;Mobility Baby;Versatile interface SSL;Li
6;deposit;solutions Route;Mobility Soap Divide;reboot Buckinghamshire Human;Mouse parsing Berkshire;online FTP platforms;Beauty;sa
7;Savings;Ergonomic;payment;contingency;bypassing compressing;RSS Polarised;attitude Loan;24
8;web-enabled Shirt;calculating;withdrawal e-busines;Usability Borders;Practical;Reduced;Lakes Analyst;To
9;Planner matrix;Cotton;Faso Dollar;1080p New Creative;Meadows;Health Handmade Massachusetts;enterprise;In
10;Cambridgeshire Movie;metrics;sexy;Licensed;Stand-alone;Plastic Market Small;interface;Ke
