id;data_criacao;data;descricao
1;2022-09-18T22:44:32;2022-09-18T14:32:47;interface Florida functionalities
2;2022-09-19T01:43:03;2022-09-18T13:45:04;archive
3;2022-09-18T21:36:08;2022-09-18T19:39:35;iterate e-enable
4;2022-09-18T23:51:22;2022-09-18T13:12:54;Metal hard
5;2022-09-18T18:01:34;2022-09-18T17:55:55;card Handcrafted
6;2022-09-19T02:53:16;2022-09-18T21:39:03;Grocery Cotton Table
7;2022-09-18T21:23:00;2022-09-18T18:16:23;Keyboard
8;2022-09-18T17:47:05;2022-09-18T11:46:49;compressing Borders
9;2022-09-19T02:12:59;2022-09-19T00:40:21;bi-directional Islands Albania
10;2022-09-18T16:36:41;2022-09-19T08:16:15;Jewelery Handmade Jewelery
