id;codigo;data_criacao;data;nome
1;51317;2022-09-18T18:57:52;2022-09-19T01:51:51;Buckinghamshire
2;26670;2022-09-19T08:26:09;2022-09-18T20:12:18;Investment Account Borders
3;76906;2022-09-18T21:49:11;2022-09-18T23:17:47;Missouri
4;36668;2022-09-18T21:10:07;2022-09-19T01:18:47;EXE enterprise
5;42900;2022-09-19T07:27:21;2022-09-19T04:52:22;Wooden optical Coordinator
6;54507;2022-09-18T23:02:48;2022-09-18T22:30:49;sticky infrastructures 5th
7;4123;2022-09-18T17:41:31;2022-09-19T03:05:28;Sharable
8;59654;2022-09-18T20:08:13;2022-09-18T18:16:22;info-mediaries Home
9;13024;2022-09-18T20:52:40;2022-09-18T21:44:16;web-readiness up Japan
10;33084;2022-09-19T07:22:51;2022-09-18T21:52:16;Face Iowa generating
