id;data_criacao;dia_da_semana;periodo_1_inicio;periodo_1_fim;periodo_2_inicio;periodo_2_fim;periodo_3_inicio;periodo_3_fim;periodo_4_inicio;periodo_4_fim
1;2022-09-19T08:14:06;Chair;2022-09-18T14:14:12;2022-09-19T01:37:27;2022-09-18T12:28:17;2022-09-19T03:30:32;2022-09-19T07:11:51;2022-09-19T02:41:51;2022-09-18T18:57:32;2022-09-19T01:41:20
2;2022-09-18T23:56:01;Pants;2022-09-19T08:08:42;2022-09-19T03:56:00;2022-09-18T19:18:12;2022-09-18T13:41:10;2022-09-19T09:38:10;2022-09-18T19:30:51;2022-09-18T15:59:06;2022-09-19T01:23:09
3;2022-09-18T12:27:57;Fresh;2022-09-18T14:13:54;2022-09-19T02:33:24;2022-09-19T01:32:48;2022-09-18T16:54:40;2022-09-18T10:14:37;2022-09-18T22:13:01;2022-09-18T11:30:45;2022-09-18T14:39:34
4;2022-09-19T02:28:40;Automotive;2022-09-19T06:20:33;2022-09-19T07:36:06;2022-09-19T05:40:28;2022-09-19T09:11:14;2022-09-18T17:50:18;2022-09-18T23:54:59;2022-09-18T13:43:25;2022-09-19T02:18:18
5;2022-09-18T20:06:40;methodologies withdrawal;2022-09-19T05:16:28;2022-09-18T18:35:47;2022-09-19T08:08:15;2022-09-18T11:47:57;2022-09-18T15:28:18;2022-09-18T12:58:00;2022-09-19T07:51:15;2022-09-19T00:02:32
6;2022-09-19T03:22:23;Metrics;2022-09-19T03:26:31;2022-09-18T22:29:04;2022-09-19T08:46:11;2022-09-19T05:05:00;2022-09-18T10:22:38;2022-09-19T06:29:57;2022-09-19T06:39:07;2022-09-18T19:46:23
7;2022-09-19T03:01:43;panel digital;2022-09-19T09:29:27;2022-09-19T00:13:28;2022-09-18T18:20:55;2022-09-18T20:20:09;2022-09-18T12:49:29;2022-09-19T05:06:31;2022-09-18T21:38:54;2022-09-18T16:17:52
8;2022-09-18T17:21:47;cross-platform white Iran;2022-09-18T23:32:48;2022-09-19T04:44:04;2022-09-18T14:37:25;2022-09-19T06:12:23;2022-09-19T00:27:12;2022-09-18T23:03:46;2022-09-19T03:16:42;2022-09-18T19:42:15
9;2022-09-18T19:32:59;Division;2022-09-19T06:53:03;2022-09-19T05:40:45;2022-09-19T07:44:51;2022-09-19T00:00:59;2022-09-19T00:34:34;2022-09-19T00:51:16;2022-09-18T20:09:03;2022-09-19T03:54:05
10;2022-09-19T05:26:15;Optional Corporate purposes;2022-09-18T18:54:46;2022-09-19T07:18:12;2022-09-18T10:23:52;2022-09-19T06:17:27;2022-09-18T21:50:25;2022-09-18T12:43:50;2022-09-18T15:42:52;2022-09-18T13:25:37
