id;codigo;data_criacao;descricao;ip_liberado
1;55019;2022-09-18T17:17:06;Shore;Customer Facili
2;69995;2022-09-19T01:31:06;Operations functionalities;Australian
3;88497;2022-09-19T01:47:40;Metal Movies Executive;Factors
4;32365;2022-09-19T06:00:07;Fresh client-driven;proactive
5;70986;2022-09-18T13:47:32;repurpose calculate;De-engineered M
6;72215;2022-09-18T14:29:28;navigating;evolve capacito
7;4806;2022-09-19T00:28:45;Implementation Generic;help-desk
8;73859;2022-09-18T21:37:36;dynamic Checking;deposit
9;17561;2022-09-18T18:45:14;Savings Chips Small;parse Toys Rubb
10;21898;2022-09-18T20:05:19;wireless motivating vertical;Shirt
