id;codigo;data_criacao;data_inicio_utilizacao;data_inicio_faturamento;data_primeiro_vencimento_boleto;dia_vencimento_boleto;produtos_contratados;valores_negociados;contratacao_bloqueio_ips;contratacao_email_proposta;criar_pedido;criar_negociacoes;sincronizar_dados_cadastro_cliente;sincronizar_dados_carteira_cliente;bloqueio_acesso;data_bloqueio_acesso;motivo_bloqueio_acesso;mensagem_bloqueio_acesso
1;45572;2022-09-14T10:01:13;2022-09-13T21:07:36;2022-09-14T01:47:17;2022-09-14T03:51:39;40143;programming;Research;true;false;false;true;true;true;false;2022-09-13T20:15:54;XML Outdoors;circuit
2;42497;2022-09-14T13:40:11;2022-09-13T19:54:08;2022-09-14T10:10:30;2022-09-14T11:50:07;608;transmitting Tuna;Mobility generating;false;false;false;false;false;false;false;2022-09-14T09:45:29;seamless transmit SQL;deposit lime Supervisor
3;61626;2022-09-13T14:35:41;2022-09-14T12:01:10;2022-09-13T18:30:24;2022-09-13T17:49:10;80186;Metal maximized;analyzer Hat;true;true;false;false;false;false;false;2022-09-14T06:25:42;Cotton;Account overriding
4;69520;2022-09-13T15:59:43;2022-09-13T16:29:16;2022-09-14T09:58:48;2022-09-14T07:52:37;6930;Home ivory ivory;Legacy Louisiana;true;false;true;true;true;true;false;2022-09-13T17:52:43;orchid;solutions
5;90405;2022-09-13T20:43:39;2022-09-14T00:04:51;2022-09-13T19:22:23;2022-09-14T11:13:50;67249;International Fantastic Berkshire;Profound;false;false;false;false;true;true;false;2022-09-14T12:43:35;Buckinghamshire Liberian Customer;SQL
6;18822;2022-09-14T10:03:25;2022-09-14T09:07:10;2022-09-14T01:43:13;2022-09-14T03:15:07;61349;grid-enabled visualize;back-end;true;false;true;true;true;true;false;2022-09-14T09:41:17;Legacy;Producer
7;54548;2022-09-14T13:50:40;2022-09-13T15:20:54;2022-09-13T16:13:19;2022-09-14T14:06:26;6076;tan Sharable Chicken;Programmable bypass;true;true;true;false;true;true;true;2022-09-14T07:06:18;proactive Chair;1080p e-tailers
8;4290;2022-09-14T09:56:50;2022-09-14T04:12:38;2022-09-14T13:27:00;2022-09-14T05:39:54;91920;Engineer Branding B2B;Steel;false;true;false;false;false;false;true;2022-09-13T21:50:27;Officer primary;Identity Metal Games
9;86242;2022-09-13T21:54:13;2022-09-13T15:18:46;2022-09-13T15:17:29;2022-09-14T06:16:02;35178;visualize Guinea multi-state;redefine transmitter back-end;false;false;false;false;false;false;false;2022-09-13T20:00:55;Human Intuitive;connecting invoice Health
10;37475;2022-09-14T05:41:41;2022-09-14T05:38:31;2022-09-14T12:44:46;2022-09-13T14:45:31;44420;Licensed;orange;false;false;false;true;true;true;true;2022-09-14T00:03:37;synthesize Tennessee Uganda;mobile invoice Ameliorated
