id;codigo;data_criacao;descricao;ativo;valor
1;30080;2022-09-18T22:25:57;Gloves JBOD Dollar;true;58478
2;91446;2022-09-18T20:57:58;Human collaborative;true;55176
3;87063;2022-09-18T19:12:00;Antilles;true;53048
4;7794;2022-09-19T09:43:01;clicks-and-mortar Shoes;true;5424
5;16318;2022-09-18T23:08:44;Steel Administrator Optimization;false;15097
6;3211;2022-09-18T17:35:31;mission-critical payment;false;17180
7;70385;2022-09-19T04:21:59;Mountain West;true;33826
8;75764;2022-09-18T18:33:32;Sports unleash Nebraska;true;799
9;25683;2022-09-18T19:58:55;overriding;false;70804
10;97462;2022-09-19T07:33:47;methodologies payment;true;90325
