id;codigo;data_criacao;descricao;tipo
1;38284;2022-09-18T15:15:10;Small Graphic;LEAD
2;91561;2022-09-18T19:11:38;transition;MAILING
3;1842;2022-09-19T08:38:18;Awesome transmit multi-tasking;MAILING
4;14105;2022-09-19T05:42:14;Shoes Saint;LEAD
5;14652;2022-09-19T04:47:39;extensible Balanced;LEAD
6;47983;2022-09-18T17:41:19;structure feed;LEAD
7;35559;2022-09-18T22:09:52;Operations PNG;MAILING
8;14344;2022-09-18T16:32:32;architectures;MAILING
9;81680;2022-09-19T06:57:47;virtual virtual;MAILING
10;62046;2022-09-19T09:51:58;moderator;MAILING
