id;codigo;data_criacao;descricao;ativo
1;96077;2022-09-19T02:54:13;Handmade Accountability Towels;false
2;6876;2022-09-19T02:07:45;streamline morph real-time;true
3;89265;2022-09-19T03:39:42;matrix;false
4;30202;2022-09-18T13:59:47;Optional Outdoors;true
5;1647;2022-09-18T22:28:10;Florida Rubber;false
6;70398;2022-09-18T19:34:16;hacking Frozen;false
7;84660;2022-09-18T10:37:42;salmon Buckinghamshire;false
8;90577;2022-09-18T14:03:09;firewall Ohio;false
9;16735;2022-09-19T08:36:35;Papua;false
10;17447;2022-09-18T13:49:49;reboot Buckinghamshire deposit;false
