id;codigo;data_criacao;descricao;ativo;valor
1;69271;2022-09-19T08:18:45;Islands e-services;true;17456
2;60316;2022-09-18T15:08:26;invoice modular front-end;true;36687
3;12603;2022-09-18T23:59:02;Steel Buckinghamshire Steel;true;88183
4;54460;2022-09-18T12:16:54;Investment;false;72502
5;13376;2022-09-19T00:33:55;solutions;false;71837
6;42012;2022-09-19T08:41:14;Operative Regional;false;33537
7;3903;2022-09-18T14:45:53;bandwidth enable;true;80084
8;730;2022-09-19T06:24:35;compress card grow;true;64386
9;11624;2022-09-19T05:53:54;service-desk Technician payment;true;14429
10;97820;2022-09-19T00:22:26;Baby;false;7581
